Symbol,Last Price,Change,ChangePerc,Price When Added,Date Added,Value,EPS,P/E Ratio,52-Week Range,Day's Range,
TTD,385.955,13.93,3.74,264.07,04/27/2020,38595.50,2.5460,146.1216,136.00 - 395.04,373.14 - 395.04,
CMG,1032.65,0.85,0.08,635.59,03/30/2020,103265.00,11.9383,86.4281,415.000 - 1087.00,1024.63 - 1042.88,
NFLX,448.80,12.67,2.91,376.51,02/11/2020,44880.00,4.6567,93.6575,252.28 - 458.97,439.22 - 450.46,
NKE,99.60,0.56,0.57,101.46,01/06/2020,9960.00,2.7067,36.5903,60.000 - 105.62,98.890 - 100.24,
XLNX,93.62,0.14,0.15,93.59,12/11/2019,9362.00,3.1088,30.0691,67.680 - 133.00,93.08 - 94.17,
INMD,31.877,0.22,0.69,48.62,12/02/2019,3187.70,1.6836,18.8051,13.06 - 58.76,30.66 - 32.11,
VMW,142.10,2.61,1.87,182.53,07/22/2019,14210.00,3.2806,42.5197,86.000 - 183.50,140.65 - 143.77,
SHOP,820.98,15.22,1.89,323.30,07/09/2019,82098.00,-1.1628,.0000,281.69 - 844.00,810.59 - 827.49,
CRM,181.98,1.50,0.83,154.46,07/05/2019,18198.00,-.1733,.0000,115.29 - 195.72,180.68 - 182.74,
UBER,33.2399,-0.25,-0.75,45.00,05/10/2019,3323.99,-7.7231,.0000,13.71 - 47.08,33.04 - 33.60,
BYND,156.83,4.89,3.22,.00,04/26/2019,15683.00,-.1568,.0000,48.180 - 239.71,154.52 - 167.16,
TSCO,125.25,1.41,1.14,106.17,04/25/2019,12525.00,4.7438,26.1058,63.890 - 125.95,124.00 - 125.95,
PINS,22.49,0.29,1.31,19.00,04/18/2019,2249.00,-3.1447,.0000,10.10 - 36.83,21.38 - 22.58,
ZM,237.05,-5.51,-2.27,36.00,04/18/2019,23705.00,.1700,1426.8230,60.970 - 243.88,235.46 - 243.88,
COST,300.35,-1.01,-0.34,237.92,03/22/2019,30035.00,8.4550,35.6429,260.43 - 325.26,299.09 - 302.00,
INTU,288.53,-0.05,-0.02,248.04,02/26/2019,28853.00,5.0618,57.0110,187.68 - 306.89,287.80 - 291.95,
PRLB,113.57,-3.09,-2.65,110.73,02/15/2019,11357.00,2.3018,50.6825,63.190 - 136.85,113.51 - 117.59,
TER,78.38,1.35,1.75,31.80,01/22/2019,7838.00,2.9610,26.0151,42.87 - 81.57,77.08 - 78.77,
ATVI,75.75,2.75,3.77,.00,01/16/2018,.00,2.0213,36.1154,44.58 - 76.48,73.31 - 76.48,
EA,128.32,2.59,2.06,.00,07/17/2018,.00,10.2460,12.2711,85.690 - 129.01,126.29 - 129.01,
NTDOY,57.5001,1.80,3.23,.00,01/18/2018,.00,.0000,.0000,35.82 - 57.90,56.66 - 57.90,
ANTM,267.52,0.09,0.03,.00,11/03/2017,.00,18.4755,14.4749,171.03 - 312.48,264.17 - 269.53,
AMGN,227.315,0.45,0.20,.00,01/16/2018,.00,12.7662,17.7711,173.12 - 244.99,224.53 - 228.81,
HQY,61.90,-0.17,-0.27,.00,08/27/2018,.00,.0201,3088.0590,34.40 - 88.78,61.04 - 62.74,
BIIB,283.499,1.38,0.49,.00,07/09/2018,.00,32.4014,8.7070,215.78 - 374.99,279.68 - 285.28,
GILD,74.03,-0.59,-0.79,.00,07/21/2016,.00,3.8901,19.1818,60.89 - 85.97,73.91 - 74.81,
JAZZ,110.80,-0.78,-0.70,.00,05/22/2018,.00,4.8127,23.1843,86.880 - 154.24,109.04 - 113.02,
MRK,76.24,-0.73,-0.95,.00,01/29/2018,.00,3.9748,19.3643,65.25 - 92.64,75.62 - 77.45,
ACIU,6.89,0.03,0.44,.00,07/06/2018,.00,-.3793,.0000,4.070 - 10.14,6.76 - 6.89,
NVCR,64.32,-1.04,-1.59,.00,08/27/2018,.00,-.0256,.0000,53.40 - 98.84,64.26 - 65.87,
CRSP,66.692,0.42,0.64,.00,01/29/2018,.00,.7544,87.8446,32.30 - 74.00,64.68 - 67.40,
